date,china_return,china_vol,usa_return1,usa1_vol,usa_return2,usa2_vol,euro_return,euro_vol,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility
2013-3-21,0.008863167,0.006048534,-0.001022355,0.003849481,-0.005661533,0.005163448,-0.005168673,0.008613781,-2.728,-0.155,-0.703,-0.318,-0.284,-1.268
2013-3-22,0.009094137,0.006169831,-0.00107335,0.003642862,0.006844915,0.005863504,0.00656313,0.00805857,-2.561,-0.143,-0.676,-0.321,-0.276,-1.145
2013-3-25,0.001716075,0.006201876,0.004385972,0.003411804,-0.003151741,0.005973168,-0.004441909,0.00818391,-2.666,-0.148,-0.69,-0.295,-0.287,-1.246
2013-3-26,-0.004776824,0.006703538,0.001018975,0.003436721,0.011878075,0.007248594,0.004190275,0.007300504,-2.731,-0.146,-0.703,-0.301,-0.282,-1.299
2013-3-27,0.005646977,0.005718447,0.000695289,0.002321486,0.005470199,0.006434298,-0.00613618,0.006309688,-2.608,-0.117,-0.697,-0.266,-0.259,-1.269
2013-3-28,0.00993439,0.005584449,0.005693085,0.002602091,0.009635483,0.006675833,0.012888921,0.007732445,-2.687,-0.108,-0.696,-0.269,-0.269,-1.345
2013-4-2,0.007724603,0.005303797,0.005832642,0.003025755,0.014962158,0.007618451,0.010215688,0.007835352,-2.551,-0.106,-0.528,-0.262,-0.285,-1.37
2013-4-3,-0.005337624,0.006388908,-0.003392083,0.003538006,-0.007729448,0.008154194,-0.000456899,0.007237596,-2.445,-0.101,-0.523,-0.245,-0.283,-1.293
2013-4-4,-0.00444781,0.006437605,-0.00039403,0.003451759,0.003902783,0.008144065,-0.010028024,0.008569794,-2.548,-0.104,-0.537,-0.289,-0.289,-1.329
2013-4-5,-0.011321582,0.008047465,-0.002021846,0.003554605,-0.005993247,0.008671558,-0.003178612,0.008451271,-2.451,-0.111,-0.512,-0.297,-0.3,-1.231
2013-4-8,0.00695138,0.008196156,0.007181183,0.004239352,0.001619467,0.00808123,0.009868754,0.009051805,-2.493,-0.125,-0.563,-0.338,-0.305,-1.162
2013-4-9,0.003097258,0.008026038,0.001028681,0.004224858,0.003373995,0.00801839,0.000706653,0.008386624,-2.599,-0.152,-0.577,-0.343,-0.303,-1.224
2013-4-10,0.006147614,0.007424034,0.006903898,0.004421944,0.016580838,0.009324915,0.012955539,0.008399929,-2.796,-0.173,-0.646,-0.374,-0.325,-1.278
2013-4-11,0.006279964,0.007203349,0.00184596,0.00411668,0.009412445,0.008410459,0.010647771,0.008464254,-2.865,-0.184,-0.69,-0.372,-0.331,-1.288
2013-4-12,0.001825708,0.006782817,-0.001651488,0.00380624,0.001371483,0.007067292,-0.004953605,0.008922442,-2.758,-0.17,-0.652,-0.331,-0.312,-1.293
2013-4-15,0.022256496,0.009871106,-0.010998253,0.006201181,-0.019677896,0.011519232,0.017314198,0.008611456,-2.436,-0.161,-0.553,-0.301,-0.309,-1.112
